modelo,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,precision_macro_mean,recall_macro_mean,tiempo_seg_mean
BiLSTM-Atencion,0.5057797768407106,0.13447741222512125,0.40786379315631127,0.04239283671709724,0.4154028379129756,0.5184029275363604,1.3641922195997722
CNN-1D,0.6194871166605119,0.018268171858867605,0.49824728575831567,0.01826485783972166,0.49663274521001044,0.5513866635362958,0.3930689155999062
CNN-BiLSTM,0.44204511206537483,0.18217692203539718,0.38201950097989595,0.05607152967422055,0.3849372900397231,0.5189396392084145,2.141925637600161
LSTM,0.22498575802054951,0.2141607224667914,0.07126774640043479,0.045437026907066295,0.21297832576777034,0.20231078997368374,0.6509274946000005
MLP-TFIDF,0.6889123028236328,0.027044709471609658,0.45254980855830895,0.0328234736858555,0.5120614392203519,0.5121633052877653,0.29637644299991733
