clase,precision,recall,f1-score,support
Declaración,0.8827127659574469,0.3744359205776173,0.5258238276299113,8864.0
Pregunta declarativa,0.3351912845198885,0.5890471950133571,0.42725658000968836,2246.0
Retroalimentación breve,0.5763333333333334,0.8816930137684854,0.6970368877242491,1961.0
Continuación / seguimiento,0.8253839935327405,0.7752467729688687,0.7995301487862176,1317.0
Pregunta,0.21610890527509927,0.7042513863216266,0.3307291666666667,1082.0
accuracy,0.5270846800258565,0.5270846800258565,0.5270846800258565,0.5270846800258565
macro avg,0.5671460565237016,0.6649348577299911,0.5560753221633467,15470.0
weighted avg,0.7128801424780493,0.5270846800258565,0.5428726689027361,15470.0
