clase,precision,recall,f1-score,support
Declaración,0.8635914332784185,0.5913808664259927,0.7020222311503951,8864.0
Pregunta declarativa,0.3887366818873668,0.568566340160285,0.46176098354727896,2246.0
Retroalimentación breve,0.57090788601723,0.8786333503314635,0.6921068487648122,1961.0
Continuación / seguimiento,0.7981438515081206,0.7835990888382688,0.7908045977011494,1317.0
Pregunta,0.37028824833702884,0.6173752310536045,0.46292446292446293,1082.0
accuracy,0.6426632191338074,0.6426632191338074,0.6426632191338074,0.6426632191338074
macro avg,0.5983336202056329,0.6879109753619229,0.6219238248176198,15470.0
weighted avg,0.7174747739958355,0.6426632191338074,0.656718531380011,15470.0
