modelo,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc_macro_ovr,tiempo_entrenamiento_seg,tiempo_inferencia_seg,milisegundos_por_registro,tamano_modelo_mb,parametros,epocas
MLP-TFIDF,0.6426632191338074,0.5983336202056329,0.6879109753619229,0.6219238248176198,0.656718531380011,0.8895966715369884,1.556016422000539,0.056870423002692405,0.0036761747254487657,1.2569,328709,2
CNN-1D,0.6488041370394312,0.5899517344164433,0.6619452627920049,0.5979479776900531,0.6596753516651233,0.8738172479393664,3.1101645410017227,0.14751100299326936,0.009535294311135705,1.376,359941,2
BiLSTM,0.6184227537168714,0.5671493476014406,0.6597191367514919,0.5891896934267841,0.635351547789422,0.8633372628340548,8.273143267993873,0.5592023680001148,0.03614753510020134,1.4695,384293,2
BiLSTM-Atencion,0.5865546218487395,0.5797487313766385,0.6679407284288028,0.5817003946763772,0.6103392335057061,0.8734436694178939,9.853879579997738,0.5054056380031398,0.0326700477054389,1.4949,390438,2
CNN-BiLSTM,0.5270846800258565,0.5671460565237016,0.6649348577299911,0.5560753221633467,0.5428726689027361,0.8721893951509821,12.868202195997583,0.5209242119963164,0.03367318758864359,1.4834,387445,2
LSTM,0.5014221073044602,0.20064644266613882,0.3298230660331335,0.2203818310686433,0.4520379477940907,0.6889905045500638,3.8865443260001484,0.22446415000013076,0.014509641241120282,1.396,365237,2
