modelo,tiempo_entrenamiento_seg
MLP-TFIDF,1.5864507719998073
CNN-1D,2.698964734999663
LSTM,7.8894265740000264
CNN-BiLSTM,15.307453821999843
BiLSTM-Atencion,19.697710760000064
