fold,modelo,accuracy,precision_macro,recall_macro,f1_macro,tiempo_seg,n_train,n_validacion
1,MLP-TFIDF,0.702988792029888,0.5985505413124578,0.5275971465386752,0.48573393065981013,0.3323925159997998,6394,1606
1,CNN-1D,0.6145703611457036,0.46367145053037184,0.5164404814762216,0.4685814855524601,0.42400529499991535,6394,1606
1,LSTM,0.14009962640099627,0.30897554222427315,0.20131708073177976,0.05577762387578339,0.6755564509999203,6394,1606
1,CNN-BiLSTM,0.6108343711083437,0.37422392264903825,0.5014710646722031,0.4001915823850176,2.651710885000284,6394,1606
1,BiLSTM-Atencion,0.6039850560398505,0.38310232176011283,0.4987674029533612,0.42222476446297097,1.6216776639998898,6394,1606
2,MLP-TFIDF,0.6849656893325016,0.44375499500499505,0.5207982854146025,0.43633515713592874,0.30602348299998994,6397,1603
2,CNN-1D,0.6506550218340611,0.4858873268285254,0.569037292842589,0.5068381703728001,0.3773637859999326,6397,1603
2,LSTM,0.14660012476606363,0.21592176693686324,0.20332640332640334,0.055176927583642954,0.663213684999846,6397,1603
2,CNN-BiLSTM,0.2295695570804741,0.2742352473651931,0.5046139825741303,0.3057692042433107,2.16446078700028,6397,1603
2,BiLSTM-Atencion,0.3911416094822208,0.43900950988896337,0.5251468972658875,0.39687571405429706,1.2958879639995757,6397,1603
3,MLP-TFIDF,0.6960600375234521,0.5390451656777865,0.5336314976973607,0.4588135760650903,0.29264879699985613,6401,1599
3,CNN-1D,0.6022514071294559,0.5125252145249994,0.5616360479654416,0.5021988477769226,0.38224884099963674,6401,1599
3,LSTM,0.6041275797373359,0.12097683155917345,0.19958677685950413,0.1506432748538012,0.6549730330002603,6401,1599
3,CNN-BiLSTM,0.34709193245778613,0.34752658943752557,0.5123527668972431,0.3422716896426191,1.9992013320002116,6401,1599
3,BiLSTM-Atencion,0.5641025641025641,0.41441211972748543,0.5351768405128089,0.42719895164397464,1.2679538389998015,6401,1599
4,MLP-TFIDF,0.71571072319202,0.5185723533264351,0.5192690974422645,0.47723948614477074,0.28823652299979585,6396,1604
4,CNN-1D,0.6140897755610972,0.4923615492207268,0.5645897968514721,0.5172573515624362,0.37628485599998385,6396,1604
4,LSTM,0.07793017456359103,0.20566573403554972,0.20408316204179516,0.03478872969659822,0.629316894999647,6396,1604
4,CNN-BiLSTM,0.3690773067331671,0.4898612134364749,0.5646997104977677,0.43671521316584094,1.9004581649996908,6396,1604
4,BiLSTM-Atencion,0.635286783042394,0.4458550184300497,0.531550244189119,0.4523217687759068,1.3246989989997928,6396,1604
5,MLP-TFIDF,0.6448362720403022,0.4603841407800847,0.4595204993459238,0.40462689278594477,0.262580896000145,6412,1588
5,CNN-1D,0.6158690176322418,0.528718184945429,0.5452296985457553,0.4963605735269595,0.40544180000006236,6412,1588
5,LSTM,0.1561712846347607,0.21335175408299206,0.2032405269089364,0.05995217599234816,0.6315774090003288,6412,1588
5,CNN-BiLSTM,0.6536523929471033,0.4388394773103837,0.5115606714007284,0.42514981546269126,1.9937970190003398,6412,1588
5,BiLSTM-Atencion,0.3343828715365239,0.394635219758267,0.5013732527606252,0.34069776684440684,1.3107426319998012,6412,1588
