clase,precision,recall,f1-score,support
Declaración,0.7513583441138422,0.6552346570397112,0.7000120525491141,8864.0
Pregunta declarativa,0.0,0.0,0.0,2246.0
Retroalimentación breve,0.2518738692168519,0.9938806731259562,0.4018971027941025,1961.0
Continuación / seguimiento,0.0,0.0,0.0,1317.0
Pregunta,0.0,0.0,0.0,1082.0
accuracy,0.5014221073044602,0.5014221073044602,0.5014221073044602,0.5014221073044602
macro avg,0.20064644266613882,0.3298230660331335,0.2203818310686433,15470.0
weighted avg,0.46244117774785676,0.5014221073044602,0.4520379477940907,15470.0
