clase,precision,recall,f1-score,support
Declaración,0.8307120388904775,0.6554602888086642,0.7327531845125489,8864.0
Pregunta declarativa,0.5136054421768708,0.336153161175423,0.40635091496232506,2246.0
Retroalimentación breve,0.5732715845186901,0.8837327893931668,0.6954253611556982,1961.0
Continuación / seguimiento,0.7683284457478006,0.7957479119210327,0.7817978366281239,1317.0
Pregunta,0.26384116074837727,0.6386321626617375,0.37341259119156983,1082.0
accuracy,0.6488041370394312,0.6488041370394312,0.6488041370394312,0.6488041370394312
macro avg,0.5899517344164433,0.6619452627920049,0.5979479776900531,15470.0
weighted avg,0.7070807764754489,0.6488041370394312,0.6596753516651233,15470.0
