clase,precision,recall,f1-score,support
Declaración,0.8520954707761699,0.5115072202166066,0.6392668311596758,8864.0
Pregunta declarativa,0.44810690423162586,0.4479073909171861,0.4480071253618348,2246.0
Retroalimentación breve,0.5748502994011976,0.8811830698623151,0.6957922287094825,1961.0
Continuación / seguimiento,0.809897879025923,0.782839787395596,0.7961389961389962,1317.0
Pregunta,0.21379310344827587,0.7162661737523105,0.32929679201189715,1082.0
accuracy,0.5865546218487395,0.5865546218487395,0.5865546218487395,0.5865546218487395
macro avg,0.5797487313766385,0.6679407284288028,0.5817003946763772,15470.0
weighted avg,0.7100622780606416,0.5865546218487395,0.6103392335057061,15470.0
